Provincia,Latitud,Longitud,Pais,ISO
Capital Federal,-34.61,-58.44,Argentina,AR
Buenos Aires,-34.92,-57.95,Argentina,AR
Catamarca,-28.47,-65.79,Argentina,AR
Chaco,-27.46,-58.98,Argentina,AR
Chubut,-43.30,-65.10,Argentina,AR
Cordoba,-31.41,-64.18,Argentina,AR
Corrientes,-27.48,-58.83,Argentina,AR
Entre Rios,-31.73,-60.52,Argentina,AR
Formosa,-26.18,-58.18,Argentina,AR
Jujuy,-24.19,-65.30,Argentina,AR
La Pampa,-36.62,-64.28,Argentina,AR
La Rioja,-29.41,-66.85,Argentina,AR
Mendoza,-32.89,-68.83,Argentina,AR
Misiones,-27.37,-55.90,Argentina,AR
Neuquen,-38.95,-68.06,Argentina,AR
Rio Negro,-40.81,-63.00,Argentina,AR
Salta,-24.79,-65.41,Argentina,AR
San Juan,-31.54,-68.54,Argentina,AR
San Luis,-33.30,-66.34,Argentina,AR
Santa Cruz,-51.62,-69.22,Argentina,AR
Santiago del Estero,-27.80,-64.26,Argentina,AR
Tierra del Fuego,-54.80,-68.30,Argentina,AR
Tucuman,-26.82,-65.22,Argentina,AR
Santa Fe,-31.63,-60.70,Argentina,AR
